recording_id,source_file,label,window_start_packet,window_end_packet,window_start_s,window_end_s,lumos_total_log,lumos_clear_log,lumos_nir_clear_ratio,lumos_clear_std_ratio,lumos_visible_std_ratio,lumos_blue_red_ratio,lumos_green_red_ratio,lumos_dark_fraction,lumos_saturation_fraction,lumos_f1_clear_ratio,lumos_f2_clear_ratio,lumos_f3_clear_ratio,lumos_f4_clear_ratio,lumos_f5_clear_ratio,lumos_f6_clear_ratio,lumos_f7_clear_ratio,lumos_f8_clear_ratio,flicker_sensor_off_fraction,flicker_none_fraction,flicker_100hz_fraction,flicker_detected_fraction,audio_rms,audio_log_energy,audio_abs_mean,audio_std,audio_peak,audio_crest_factor,audio_silence_fraction,audio_zero_crossing_rate,audio_low_high_ratio,audio_spectral_centroid_hz,audio_low_band_log,audio_low_band_ratio,audio_mid_band_log,audio_mid_band_ratio,audio_high_band_log,audio_high_band_ratio,audio_very_high_band_log,audio_very_high_band_ratio
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,90,99,34.324,37.756,9.382200241088867,8.205946780765895,0.2364739818212904,0.07527220623378791,0.0329464886619331,0.29197588562965393,0.8214285373687744,0.0,0.0,0.07133970592559474,0.11967834845605659,0.21095433067952543,0.19444696882310078,0.34295251819342915,0.41274465373602115,0.22497344178938328,0.4292520155924458,0.0,1.0,0.0,0.0,0.011310137808322906,0.00012791104381904006,0.009336639195680618,0.011310105212032795,0.061248779296875,5.415382746086066,0.3072398849193343,0.02172369211719504,61.698027624937005,694.2148534010821,5.819965290018635,0.8544192271088145,3.9664654761009057,0.13173236865485768,1.8239059846588026,0.013214574640075007,0.22252240092970046,0.00063382957082064
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,99,108,37.756,41.189,9.365242958068848,8.214826019289212,0.23233781428141956,0.0699778380090769,0.03855259533140093,0.2657659649848938,0.8214669823646545,0.0,0.0,0.0532346862991917,0.11774790478602497,0.17841137738024343,0.2084273257131936,0.3200697872557857,0.4065084900592612,0.22102920508275195,0.4223284856989191,0.0,1.0,0.0,0.0,0.011766673997044563,0.00013844502973370254,0.009375392459332943,0.01176667120307684,0.038726806640625,3.2912251786783777,0.34739065515860007,0.025383760948340224,76.1226236773504,730.6618610171871,5.9952336817065275,0.9022403312031916,3.6670116595659445,0.08590720907274645,1.7753791830306171,0.011044030662777819,0.30665129409580444,0.0008084290387568555
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,108,117,41.189,44.621,9.37867546081543,8.199342086299362,0.24161524858471772,0.03671304948743645,0.04274951628312764,0.2660105526447296,0.8216525316238403,0.0,0.0,0.03729610878340245,0.14020404004732648,0.19796565344601763,0.19842384217648307,0.3498380944547449,0.42021502436085384,0.22976356877529722,0.43750380886984924,0.0,1.0,0.0,0.0,0.011653492227196693,0.00013579466030932963,0.00934673473238945,0.011653448455035686,0.0413818359375,3.5510214123376542,0.3282348228267599,0.017790483821039024,141.97193048871716,633.5699595818598,5.89259173773284,0.9001296755983181,3.651858226789745,0.09353012974119748,1.1991262498563542,0.005772341061859382,0.2053510422063843,0.000567853573714371
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,117,126,44.621,48.053,9.391865730285645,8.262558973010657,0.2280430160024357,0.08772219947053975,0.04604599560263645,0.21193377673625946,0.8216299414634705,0.0,0.0,0.05210035754774861,0.08151971238638236,0.1869534085176627,0.1870394247727028,0.33098207535196844,0.3969318926401047,0.21694624180891595,0.4135340536783683,0.0,1.0,0.0,0.0,0.011305633932352066,0.00012780919496435672,0.009004147723317146,0.011305277235805988,0.037506103515625,3.3174672526434414,0.35305364361411556,0.021996831582205875,114.15395454169366,675.9250345616128,5.896109358436073,0.9014815073437764,3.62307009317703,0.09062142495508337,1.3406600600098488,0.007014474687959963,0.3038177715748887,0.0008825929883200194
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,126,135,48.053,51.486,9.405678749084473,8.241234706495007,0.23632796032231626,0.07279996032686656,0.04063335880711604,0.21277543902397156,0.822613000869751,0.0,0.0,0.01915697549617986,0.12085884709782196,0.21465186929395474,0.2126307150688111,0.3286856864214747,0.41436482294649907,0.22551920771454398,0.4325258456587597,0.0,1.0,0.0,0.0,0.011203725822269917,0.0001255156093975529,0.008851727470755577,0.011203622445464134,0.04034423828125,3.6009630110214537,0.36243126115299173,0.02629422583170967,68.0830843882198,691.7341184935384,5.834638605580405,0.843306553086715,4.083317446283272,0.14430701406158297,1.7608684655260365,0.011915894969275708,0.17415005891295174,0.0004705378576916887
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,135,144,51.486,54.918,9.392662048339844,8.210275471529814,0.23980300954548361,0.04078375456098434,0.04460157742634727,0.29212453961372375,0.8209706544876099,0.0,0.0,0.019276087698845326,0.17348479758794003,0.21372891991241513,0.19653754749579905,0.34518701386617173,0.41488911967728426,0.22768746131255674,0.4321711264768242,0.0,1.0,0.0,0.0,0.010769574902951717,0.00011597701086429879,0.008714673109352589,0.010769565589725971,0.031585693359375,2.93286079677203,0.3594085727812375,0.019647832183112696,107.25053341092801,669.4314710131562,5.791627605063523,0.9396652823221997,2.9403456725945314,0.05157331339880554,1.3404048913377398,0.008116507308430273,0.20221399770104773,0.0006448969417885734
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,144,153,54.918,58.35,9.046526908874512,7.914698877821213,0.24315763565345413,0.1496027326534479,0.18283723021805773,0.5424836874008179,0.9352940917015076,0.0,0.0,0.1207666767249065,0.18257126480384073,0.12096970921206666,0.2386908094041314,0.2842930391833834,0.3524730079649375,0.21176805918353067,0.3473970619477745,0.0,1.0,0.0,0.0,0.012650608085095882,0.00016002508345991373,0.010556787252426147,0.01265059132128954,0.03375244140625,2.6680468242112916,0.2700935940857278,0.01680718174700002,127.0386533643236,608.4274711967485,6.14442273582734,0.9525302519723716,3.0212930709540524,0.03997179187989462,1.4977752578152346,0.007109982263772465,0.1734855981764274,0.00038797386348166487
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,153,162,58.35,61.783,9.043498039245605,7.89274256240316,0.24702170687795677,0.03481740137921022,0.06855769042930945,0.5428471565246582,0.9295932650566101,0.0,0.0,0.05470922576990569,0.26661409044451506,0.09513926359690698,0.27474990610146355,0.2754970730781397,0.3557345019843366,0.2049312929246248,0.3869909947758644,0.0,1.0,0.0,0.0,0.014007402583956718,0.00019618807709775865,0.011820473708212376,0.014007222838699818,0.06317138671875,4.509854074770587,0.22763028515240905,0.014367135859569896,63.02819351443256,723.7754852750649,6.303148175125479,0.9615418619975401,2.6502830612505877,0.023202395954339924,2.1340085150849357,0.013134692912776736,0.789749221574372,0.002121049117709655
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,162,171,61.783,65.215,9.24696159362793,8.107653141608544,0.2459071155969537,0.1754117564922151,0.17260995800374468,0.4503757655620575,1.0251103639602661,0.0,0.0,0.055207741607462,0.19759616466786828,0.10234691012300302,0.2458066831470731,0.32960594874855387,0.3874585709235997,0.2195922137240055,0.34172552107437326,0.0,1.0,0.0,0.0,0.011182515881955624,0.00012504085316322744,0.00918340403586626,0.011182441376149654,0.035797119140625,3.2011657758278065,0.3282530317928548,0.02308938944224921,63.70860786787946,811.9336401051735,5.820582791004829,0.9147558045319901,3.297693925935202,0.07088576204475495,1.6466190095206603,0.011399885528804764,0.7358486334963695,0.0029585478672389206
Building2Studying_dataset,Building2Studying_dataset.npz,INDOOR_QUIET,171,180,65.215,68.648,9.302139282226562,8.239006648597696,0.2403194011262837,0.1337372399197883,0.127472211087527,0.3577122092247009,0.9031667113304138,0.0,0.0,0.033320612225721434,0.1616710261922069,0.11778175385149932,0.2237912071956906,0.26853182883924803,0.3054046940959326,0.2170390164129612,0.32806856335524787,0.0,1.0,0.0,0.0,0.010357932187616825,0.00010728100460255519,0.00840779859572649,0.01035793125629425,0.0323486328125,3.1230752428000215,0.3590079755271496,0.017754065225704243,124.0493072969931,708.2211931719837,5.779910406197461,0.9426892234011868,2.891412786619514,0.04971146593782375,1.1931147677671061,0.006710477278357749,0.26566082297748395,0.0008888333534218805
