timestamp,F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR
00:02:04.760,20,30,46,63,83,83,108,96,322,118
00:02:04.880,20,30,46,63,83,83,108,96,322,118
00:02:05.000,20,30,46,63,83,83,108,96,323,118
00:02:05.120,20,30,46,63,84,83,108,96,323,118
00:02:05.240,20,30,46,63,84,83,108,96,324,118
00:02:05.359,20,30,46,63,84,83,108,96,324,118
00:02:05.478,20,30,46,63,84,83,108,96,324,118
00:02:05.597,20,30,46,63,84,83,108,96,325,119
00:02:05.716,20,30,46,63,84,83,108,96,325,119
00:02:05.836,20,30,46,63,84,83,108,96,325,119
00:02:05.956,20,30,46,63,84,83,108,96,326,119
00:02:06.076,20,30,46,63,84,83,108,96,325,119
00:02:06.196,20,30,46,63,84,83,108,96,323,118
00:02:06.315,20,30,46,63,84,83,108,96,324,118
00:02:06.434,20,30,46,64,84,83,108,96,325,119
00:02:06.553,20,30,46,64,84,84,108,96,325,119
00:02:06.672,20,30,46,64,84,84,108,96,321,118
00:02:06.792,21,30,46,64,84,84,108,96,319,117
00:02:06.912,21,30,46,64,84,84,109,96,320,117
00:02:07.032,21,30,46,64,84,84,109,96,319,117
00:02:07.152,21,30,47,64,84,84,109,96,316,116
00:02:07.271,21,30,47,65,84,84,109,96,311,115
00:02:07.390,21,30,47,65,83,84,109,96,311,115
00:02:07.509,21,30,47,64,83,84,108,96,310,115
00:02:07.628,21,30,47,64,83,84,108,96,309,114
00:02:07.748,20,30,47,64,83,84,108,96,308,114
00:02:07.868,20,30,47,64,83,83,108,96,307,114
00:02:07.988,20,30,47,64,83,83,108,96,307,114
00:02:08.108,20,30,47,64,83,83,108,96,307,114
00:02:08.227,20,30,47,64,83,83,108,96,306,114
00:02:08.346,20,30,47,64,82,83,108,96,305,113
00:02:08.465,20,30,47,64,82,83,108,96,302,112
00:02:08.584,20,30,47,64,82,83,108,96,301,112
00:02:08.704,21,30,47,64,82,83,108,96,301,112
00:02:08.824,20,30,47,64,82,83,108,95,302,112
00:02:08.944,20,30,47,64,82,83,108,95,302,112
00:02:09.064,20,30,47,64,82,83,108,95,300,112
00:02:09.183,21,30,47,64,82,83,108,96,300,112
00:02:09.302,20,30,47,64,82,83,108,96,300,112
00:02:09.421,20,30,47,64,82,83,107,95,298,111
00:02:09.540,20,29,47,64,82,83,107,95,297,111
00:02:09.660,20,29,47,64,82,83,107,95,297,111
00:02:09.780,20,30,47,64,82,83,107,95,298,111
00:02:09.900,20,29,47,63,81,82,107,95,298,111
00:02:10.020,20,29,47,63,81,82,107,95,298,111
00:02:10.139,20,29,47,63,81,82,106,95,298,111
00:02:10.258,20,29,47,63,81,82,106,95,298,111
00:02:10.377,20,29,47,63,81,82,106,95,297,111
00:02:10.496,20,29,47,63,81,82,106,95,297,111
00:02:10.616,20,29,47,63,81,82,106,95,298,111
00:02:10.736,20,29,47,63,81,82,106,95,297,111
00:02:10.856,20,29,47,63,81,82,106,95,297,111
00:02:10.976,20,29,46,63,81,82,106,95,296,111
00:02:11.095,20,29,47,63,81,82,106,95,298,111
00:02:11.214,20,29,47,63,82,82,107,95,298,111
